cycle, observation, reward, action, explored, explore_rate, total reward, average reward
3008, 3, 1, 0, 0, 0.00740289, 5541, 1.84209
3009, 2, 1, 0, 0, 0.00740215, 5542, 1.84181
3010, 2, 3, 0, 0, 0.00740141, 5545, 1.84219
3011, 4, 3, 0, 0, 0.00740067, 5548, 1.84258
3012, 0, 3, 0, 0, 0.00739993, 5551, 1.84296
3013, 3, 1, 0, 0, 0.00739919, 5552, 1.84268
3014, 4, 1, 0, 0, 0.00739845, 5553, 1.8424
3015, 0, 3, 0, 0, 0.00739771, 5556, 1.84279
3016, 3, 1, 0, 0, 0.00739697, 5557, 1.84251
3017, 2, 1, 0, 0, 0.00739623, 5558, 1.84223
3018, 0, 3, 0, 0, 0.00739549, 5561, 1.84261
3019, 4, 1, 0, 0, 0.00739475, 5562, 1.84233
3020, 4, 3, 0, 0, 0.00739401, 5565, 1.84272
3021, 0, 3, 1, 0, 0.00739327, 5568, 1.8431
3022, 2, 0, 0, 0, 0.00739253, 5568, 1.84249
3023, 1, 1, 1, 0, 0.00739179, 5569, 1.84221
